カテゴリ,商品名,価格,エネルギー,蛋白質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,アレルギー
丼物・カレー,甘辛チキンカツ丼（中）,528,722kcal,22.1g,22.5g,112.8g,3.4g,32mg,20g,1.1mg,14μgRAE,0.15mg,0.12mg,9mg,卵、小麦、乳成分、鶏肉、大豆、りんご
丼物・カレー,甘辛チキンカツ丼（小）,440,452kcal,12.7g,11.4g,77.7g,2.2g,20mg,14g,0.6mg,8μgRAE,0.08mg,0.06mg,7mg,卵、小麦、乳成分、鶏肉、大豆、りんご
丼物・カレー,チキンカツカレー（大）,660,1130kcal,34.1g,44.9g,152.8g,5.0g,59mg,6g,2.3mg,80μgRAE,0.23mg,0.17mg,2mg,卵、小麦、乳成分、牛肉、豚肉、鶏肉、大豆
丼物・カレー,チキンカツカレー（中）,528,826kcal,24.0g,31.3g,116.5g,3.7g,45mg,5g,1.8mg,59μgRAE,0.16mg,0.12mg,1mg,卵、小麦、乳成分、牛肉、豚肉、鶏肉、大豆
丼物・カレー,チキンカツカレー（小）,440,524kcal,14.1g,17.6g,80.3g,2.4g,29mg,3g,1.2mg,39μgRAE,0.09mg,0.07mg,1mg,卵、小麦、乳成分、牛肉、豚肉、鶏肉、大豆
丼物・カレー,カレーライス（大）,440,649kcal,12.0g,12.2g,125.9g,3.5g,41mg,6g,1.5mg,60μgRAE,0.1mg,0.07mg,0mg,小麦、牛肉、豚肉、鶏肉、大豆
丼物・カレー,カレーライス（中）,363,506kcal,9.3g,9.5g,98.6g,2.7g,33mg,5g,1.2mg,46μgRAE,0.07mg,0.05mg,0mg,小麦、牛肉、豚肉、鶏肉、大豆
丼物・カレー,カレーライス（小）,286,364kcal,6.7g,6.7g,71.3g,1.9g,23mg,3g,0.9mg,32μgRAE,0.05mg,0.04mg,0mg,小麦、牛肉、豚肉、鶏肉、大豆
麺類,冷やしオクラとろろうどん,517,380kcal,11.1g,2.2g,80.6g,3.9g,68mg,42g,1.2mg,48μgRAE,0.2mg,0.11mg,7mg,小麦、鯖、大豆、やまいも
麺類,冷やしオクラとろろそば,517,355kcal,16.3g,2.6g,68.1g,3.5g,73mg,42g,2.5mg,48μgRAE,0.3mg,0.14mg,7mg,卵、小麦、そば、鯖、大豆、やまいも
麺類,かき揚げうどん,396,457kcal,11.2g,4.2g,93.4g,5.0g,29mg,36g,0.8mg,66μgRAE,0.12mg,0.07mg,6mg,卵、小麦、鯖、大豆
麺類,かけうどん,308,346kcal,8.8g,2.0g,73.4g,4.2g,21mg,5g,0.7mg,6μgRAE,0.1mg,0.05mg,2mg,小麦、鯖、大豆
麺類,きつねうどん,396,446kcal,14.6g,8.0g,79.1g,4.9g,74mg,5g,1.4mg,6μgRAE,0.11mg,0.06mg,2mg,小麦、鯖、大豆
麺類,かき揚げそば,396,432kcal,16.4g,4.6g,80.9g,4.6g,34mg,36g,2.1mg,66μgRAE,0.22mg,0.1mg,6mg,卵、小麦、そば、鯖、大豆
麺類,きつねそば,396,421kcal,19.8g,8.4g,66.6g,4.5g,79mg,5g,2.7mg,6μgRAE,0.21mg,0.09mg,2mg,卵、小麦、そば、鯖、大豆
麺類,かけそば,308,321kcal,14.0g,2.4g,60.9g,3.8g,26mg,5g,2.0mg,6μgRAE,0.2mg,0.08mg,2mg,卵、小麦、そば、鯖、大豆
麺類,とんこつラーメン,473,489kcal,17.9g,13.8g,72.5g,7.1g,31mg,20g,1.1mg,9μgRAE,0.24mg,0.1mg,2mg,卵、小麦、乳成分、牛肉、豚肉、鶏肉、大豆、ゼラチン、ごま
麺類,胡麻チゲ冷麺,594,649kcal,30.3g,24.2g,78.5g,6.6g,100mg,21g,2.6mg,91μgRAE,0.23mg,0.33mg,4mg,卵、小麦、鶏肉、大豆、ごま、魚介類
ごはん,ライス（大）,231,437kcal,7.0g,0.8g,103.9g,0.0g,8mg,0g,0.3mg,0μgRAE,0.06mg,0.03mg,0mg,なし
ごはん,ライス（中）,187,343kcal,5.5g,0.7g,81.6g,0.0g,7mg,0g,0.2mg,0μgRAE,0.04mg,0.02mg,0mg,なし
ごはん,ライス（小）,143,250kcal,4.0g,0.5g,59.4g,0.0g,5mg,0g,0.2mg,0μgRAE,0.03mg,0.02mg,0mg,なし
ごはん,ライス（ミニ）,99,156kcal,2.5g,0.3g,37.1g,0.0g,3mg,0g,0.1mg,0μgRAE,0.02mg,0.01mg,0mg,なし
汁物,さっぱり豚汁,110,58kcal,3.8g,2.3g,7.1g,1.5g,15mg,40g,0.3mg,64μgRAE,0.12mg,0.04mg,3mg,小麦、鯖、豚肉、大豆
汁物,味噌汁,44,24kcal,1.6g,0.8g,3.0g,1.7g,14mg,0g,0.2mg,1μgRAE,0.01mg,0.04mg,0mg,大豆
デザート,バナナケーキ,165,100kcal,1.4g,6.6g,8.7g,0.0g,12mg,0g,0.2mg,31μgRAE,0.02mg,0.04mg,0mg,卵、小麦、乳成分、大豆、バナナ
デザート,大学芋,121,157kcal,0.6g,3.2g,31.7g,0.0g,15mg,0g,0.4mg,0μgRAE,0.06mg,0.03mg,6mg,なし
デザート,フルーツミックスヨーグルト,99,51kcal,1.5g,1.2g,9.6g,0.0g,51mg,0g,0.0mg,17μgRAE,0.03mg,0.07mg,10mg,乳成分
デザート,チョコクレープ,99,86kcal,0.8g,5.2g,8.4g,0.1g,8mg,0g,0.1mg,3μgRAE,0.01mg,0.02mg,0mg,卵、小麦、乳成分、大豆
